,name,artist,api_id,api_name,api_artists
68,Sixteen Tons,Tennessee Ernie Ford,4KM77RUl2IKdXGhtOBbKIS,Sixteen Tons,Tennessee Ernie Ford
69,Allegheny Moon,Patti Page,36pCQ3LGIq1xLqYx3PLhuj,Allegheny Moon,Patti Page
70,Im In Love Again,Fats Domino,64tWwNVw8RPIY2N4IYGUBk,I'm In Love Again,Fats Domino
71,Be-Bop-A-Lula,Gene Vincent,0HUp7ipIDJvITTqizN6cxJ,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
72,Ill Be Home,Pat Boone,7haSrFfTd9mpMdaAJU08Nv,I'll Be Home - Single Version,Pat Boone
73,Born To Be With You,Chordettes,5VWLOq3SaTBTPT42f8dAcI,Born To Be With You - 1956 #5 Billboard chart hit,The Chordettes
74,More,Perry Como,7grwcxEWrCTkeUbhCgNOMb,More (with Mitchell Ayres and His Orchestra & The Ray Charles Singers) - Remastered,"Perry Como,Mitchell Ayres & His Orchestra,The Ray Charles Singers"
75,Blueberry Hill,Fats Domino,06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,Fats Domino
76,True Love,Bing Crosby,19eRGvbQorQA7TlDUJd9SZ,True Love,"Bing Crosby,Rosemary Clooney"
77,Long Tall Sally,Little Richard,507IFqPuG8mBQoKebfGG9t,Long Tall Sally (The Thing),Little Richard
78,Transfusion,Nervous Norvus,2P13qyFqIjxtWZxTHhiEFy,Transfusion,Nervous Norvus
79,Rock Island Line,Lonnie Donegan,7IM2yvWEuE0TvWKe0T3GRa,Rock Island Line,Lonnie Donegan & His Skiffle Group
80,Friendly Persuasion,Pat Boone,4RwEHZaK4en9PEwtPbiBME,Friendly Persuasion,Pat Boone
81,Hey Jealous Lover,Frank Sinatra,0FN30NVplziEHmuhHGXvvt,Hey! Jealous Lover,Frank Sinatra
82,Canadian Sunset,Andy Williams,55nb3A6Xo0x0ozCQEYk3pN,Canadian Sunset,Andy Williams
83,You Don't Know Me,Jerry Vale,08UhW3LpVY42NsHPJFEA8F,You Don't Know Me (with Percy Faith & His Orchestra),"Jerry Vale,Percy Faith & His Orchestra"
84,Mama From the Train,Patti Page,22YiyBTwZty3l2eGCViJNt,Mama from the Train,Patti Page
85,That's All There Is to That,Nat King Cole,0Fju1NfUIOUp5TQE6kO11O,That's All There Is To That,"Nat King Cole,The Four Knights"
86,Juke Box Baby,Perry Como,1VUjyAOlR8yJZ14nkWW6Vm,Juke Box Baby - Remastered,Perry Como
87,Youll Never Never Know,Platters,2CfiZRucDxVD8mVWCiwd3O,You'll Never Never Know,The Platters
88,Glendora,Perry Como,1xwknfyt4xR5rEAad8DmLS,Glendora (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),"Perry Como,Mitchell Ayres & His Orchestra,The Ray Charles Singers"
89,I Walk the Line,Johnny Cash,7hxZF4jETnE5Q75rKQnMjE,I Walk the Line,Johnny Cash
90,Can You Find It in Your Heart,Tony Bennett,7sjejBA3a2Ky7TEOZOeR5w,Can You Find It In Your Heart - 2011 Remaster,Tony Bennett
91,True Love,Jane Powell,0z75OwVpsXhPioZtTFKGIE,True Love,Jane Powell
92,Night Lights,Nat King Cole,1VBPT1EzXAfy9cRmUOy1oc,Night Lights - Remastered,Nat King Cole
93,Mr Wonderful,Peggy Lee,4G6jA7t2ylv1jj8D2HPprC,Mr. Wonderful,"Peggy Lee,Sy Oliver & His Orchestra"
94,My Blue Heaven,Fats Domino,6WHzRPYYEoyFwiHn4iPZTj,My Blue Heaven,Fats Domino
95,Lay Down Your Arms,Chordettes,1cKNgLbE5Nv0GO143ScuCz,Lay Down Your Arms,The Chordettes
96,All Shook Up,Elvis Presley,5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,Elvis Presley
97,Love Letters In The Sand,Pat Boone,1eqGYJJr2z2GXK1i0hD3BC,Love Letters In The Sand - Single Version,Pat Boone
98,So Rare,Jimmy Dorsey,1gA4f2lkenxCcWLPjKRV0N,So Rare - Remastered,Jimmy Dorsey
99,Dont Forbid Me,Pat Boone,5XjPPdhCGeAEecJlxAJt3M,Don't Forbid Me,Pat Boone
100,Too Much,Elvis Presley,6Dr0EbXrRpMs5GeCjOxnE5,Too Much,Elvis Presley
101,Round And Round,Perry Como,6hdPYYPHJz6IPuH4KayU1d,Round and Round (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),"Perry Como,Mitchell Ayres & His Orchestra,The Ray Charles Singers"
102,Bye Bye Love,Everly Brothers,6oRHRkQigTzJ3KwpO3XOV6,Bye Bye Love,The Everly Brothers
103,Teddy Bear,Elvis Presley,4FjkmQ9JYaIeh1NxeLEO80,(Let Me Be Your) Teddy Bear,Elvis Presley
104,Jailhouse Rock,Elvis Presley,4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,Elvis Presley
105,A White Sport Coat,Marty Robbins,3Iy8UTb7n8QpYcQK23ZjG9,A White Sport Coat (with Ray Conniff),"Marty Robbins,Ray Conniff"
106,Wake Up Little Susie,Everly Brothers,11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers
107,You Send Me,Sam Cooke,0BFEyqJ9DJXS7gKg0Kj46R,You Send Me,Sam Cooke
108,Searchin',Coasters,5DCqNn752dBJbjM6LEtQJU,Searchin',The Coasters
109,School Day,Chuck Berry,3RYwxAkUbHCzCmX8M0C0Zd,School Day (Ring Ring Goes The Bell),Chuck Berry
110,Gone,Ferlin Husky,5KDDPqFdjmO2nUzmg4twzJ,Gone,Ferlin Husky
111,Diana,Paul Anka,2k6qpHJsrKCCyvsHv2cPqR,Diana,Paul Anka
112,A Teenager's Romance,Ricky Nelson,1Qn5jElT7XqjvVeJ8pYM2w,A Teenager's Romance,Ricky Nelson
113,Honeycomb,Jimmie Rodgers,7MqkjX5YCXhazcaAlHvPmJ,Honeycomb,Jimmie Rodgers
114,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,19J1kwHa3sgxLwaWDleGhd,Whole Lotta Shakin' Going On,Jerry Lee Lewis
