,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2079,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,audio_features,1qIKynV6YQZgocodkPdCy7,spotify:track:1qIKynV6YQZgocodkPdCy7,https://api.spotify.com/v1/tracks/1qIKynV6YQZgocodkPdCy7,https://api.spotify.com/v1/audio-analysis/1qIKynV6YQZgocodkPdCy7,328093,4
2080,0.437,0.727,2,-5.432,1,0.0293,0.0532,0.0,0.103,0.233,73.029,audio_features,07HqIg8BnB1lJElnw2ZiSR,spotify:track:07HqIg8BnB1lJElnw2ZiSR,https://api.spotify.com/v1/tracks/07HqIg8BnB1lJElnw2ZiSR,https://api.spotify.com/v1/audio-analysis/07HqIg8BnB1lJElnw2ZiSR,346587,4
2081,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,audio_features,1z3ugFmUKoCzGsI6jdY4Ci,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/tracks/1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/audio-analysis/1z3ugFmUKoCzGsI6jdY4Ci,342680,4
2082,0.597,0.282,11,-17.23,1,0.0256,0.285,0.0,0.105,0.301,134.797,audio_features,1cy5US2dffz6QGBAIzOGkq,spotify:track:1cy5US2dffz6QGBAIzOGkq,https://api.spotify.com/v1/tracks/1cy5US2dffz6QGBAIzOGkq,https://api.spotify.com/v1/audio-analysis/1cy5US2dffz6QGBAIzOGkq,263933,4
2083,0.499,0.417,9,-13.982,1,0.0286,0.397,0.0,0.0622,0.505,132.195,audio_features,62oGUBJQGPa3emMGMejBhm,spotify:track:62oGUBJQGPa3emMGMejBhm,https://api.spotify.com/v1/tracks/62oGUBJQGPa3emMGMejBhm,https://api.spotify.com/v1/audio-analysis/62oGUBJQGPa3emMGMejBhm,284360,4
2084,0.851,0.649,6,-12.877,0,0.0748,0.00543,0.0029,0.156,0.846,100.302,audio_features,3t4EJY6cTsb6FyP1EQzajK,spotify:track:3t4EJY6cTsb6FyP1EQzajK,https://api.spotify.com/v1/tracks/3t4EJY6cTsb6FyP1EQzajK,https://api.spotify.com/v1/audio-analysis/3t4EJY6cTsb6FyP1EQzajK,249640,4
2085,0.701,0.891,2,-7.873,1,0.0446,0.185,0.0454,0.076,0.747,119.966,audio_features,0lmS0Wofcv7B7uFYssSKta,spotify:track:0lmS0Wofcv7B7uFYssSKta,https://api.spotify.com/v1/tracks/0lmS0Wofcv7B7uFYssSKta,https://api.spotify.com/v1/audio-analysis/0lmS0Wofcv7B7uFYssSKta,299073,4
2086,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.4,78.988,audio_features,5MoDQWMDMaAGDEiWsJfeCi,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,https://api.spotify.com/v1/tracks/5MoDQWMDMaAGDEiWsJfeCi,https://api.spotify.com/v1/audio-analysis/5MoDQWMDMaAGDEiWsJfeCi,238027,3
2087,0.943,0.685,7,-11.903,1,0.188,0.000507,8.56e-06,0.0604,0.813,125.515,audio_features,0gljI0CtjpdZK6ecidfxto,spotify:track:0gljI0CtjpdZK6ecidfxto,https://api.spotify.com/v1/tracks/0gljI0CtjpdZK6ecidfxto,https://api.spotify.com/v1/audio-analysis/0gljI0CtjpdZK6ecidfxto,263573,4
2088,0.495,0.609,7,-9.902,1,0.0339,0.42,0.0,0.187,0.33,135.671,audio_features,0tKjVEJlX3IZ5L1rEJc5hh,spotify:track:0tKjVEJlX3IZ5L1rEJc5hh,https://api.spotify.com/v1/tracks/0tKjVEJlX3IZ5L1rEJc5hh,https://api.spotify.com/v1/audio-analysis/0tKjVEJlX3IZ5L1rEJc5hh,257440,4
2089,0.658,0.575,11,-10.365,1,0.0267,0.243,0.0,0.122,0.504,108.329,audio_features,6mYrhCAGWzTdF8QnKuchXM,spotify:track:6mYrhCAGWzTdF8QnKuchXM,https://api.spotify.com/v1/tracks/6mYrhCAGWzTdF8QnKuchXM,https://api.spotify.com/v1/audio-analysis/6mYrhCAGWzTdF8QnKuchXM,239827,4
2090,0.708,0.627,1,-11.155,1,0.0614,0.0113,3.13e-05,0.338,0.764,107.246,audio_features,3XWgwgbWDI56mf1Wl3cLzb,spotify:track:3XWgwgbWDI56mf1Wl3cLzb,https://api.spotify.com/v1/tracks/3XWgwgbWDI56mf1Wl3cLzb,https://api.spotify.com/v1/audio-analysis/3XWgwgbWDI56mf1Wl3cLzb,342360,4
2091,0.73,0.906,7,-4.729,0,0.0412,0.407,2.64e-05,0.288,0.959,130.267,audio_features,4xnucvIktqiQowLjbUj9q5,spotify:track:4xnucvIktqiQowLjbUj9q5,https://api.spotify.com/v1/tracks/4xnucvIktqiQowLjbUj9q5,https://api.spotify.com/v1/audio-analysis/4xnucvIktqiQowLjbUj9q5,228000,4
2092,0.534,0.959,7,-4.289,1,0.0379,0.0089,0.0,0.347,0.756,131.278,audio_features,50ZpPgU81payZxI2H7QXNM,spotify:track:50ZpPgU81payZxI2H7QXNM,https://api.spotify.com/v1/tracks/50ZpPgU81payZxI2H7QXNM,https://api.spotify.com/v1/audio-analysis/50ZpPgU81payZxI2H7QXNM,280107,4
2093,0.747,0.586,9,-10.119,0,0.0299,0.0708,8e-05,0.0427,0.893,164.718,audio_features,6lRkdG1HurVS72F9GoBeWJ,spotify:track:6lRkdG1HurVS72F9GoBeWJ,https://api.spotify.com/v1/tracks/6lRkdG1HurVS72F9GoBeWJ,https://api.spotify.com/v1/audio-analysis/6lRkdG1HurVS72F9GoBeWJ,201867,4
2094,0.818,0.808,7,-8.536,0,0.0467,0.0274,0.0,0.0592,0.931,115.221,audio_features,6pvIzUyq2yxvIEIK8i6hRs,spotify:track:6pvIzUyq2yxvIEIK8i6hRs,https://api.spotify.com/v1/tracks/6pvIzUyq2yxvIEIK8i6hRs,https://api.spotify.com/v1/audio-analysis/6pvIzUyq2yxvIEIK8i6hRs,301373,4
2095,0.498,0.941,8,-4.17,0,0.181,0.127,0.0463,0.872,0.68,118.964,audio_features,6mwftsJLdAtoZSQAbE7X8P,spotify:track:6mwftsJLdAtoZSQAbE7X8P,https://api.spotify.com/v1/tracks/6mwftsJLdAtoZSQAbE7X8P,https://api.spotify.com/v1/audio-analysis/6mwftsJLdAtoZSQAbE7X8P,483000,4
2096,0.723,0.541,0,-14.021,1,0.0303,0.028,0.00339,0.133,0.607,131.675,audio_features,7pkWZL0kA26s754CwyK0SH,spotify:track:7pkWZL0kA26s754CwyK0SH,https://api.spotify.com/v1/tracks/7pkWZL0kA26s754CwyK0SH,https://api.spotify.com/v1/audio-analysis/7pkWZL0kA26s754CwyK0SH,322897,4
2097,0.7,0.727,7,-8.341,1,0.0737,0.00241,0.00131,0.0267,0.704,109.165,audio_features,0vbbwEUSkZf3oA1dLlIoFL,spotify:track:0vbbwEUSkZf3oA1dLlIoFL,https://api.spotify.com/v1/tracks/0vbbwEUSkZf3oA1dLlIoFL,https://api.spotify.com/v1/audio-analysis/0vbbwEUSkZf3oA1dLlIoFL,261440,4
2098,0.797,0.656,1,-11.601,1,0.0404,0.00721,0.0,0.0377,0.948,99.828,audio_features,0s6e7ZafqOAUBDoQYGmxrc,spotify:track:0s6e7ZafqOAUBDoQYGmxrc,https://api.spotify.com/v1/tracks/0s6e7ZafqOAUBDoQYGmxrc,https://api.spotify.com/v1/audio-analysis/0s6e7ZafqOAUBDoQYGmxrc,237240,4
2099,0.763,0.552,6,-11.98,1,0.0449,0.119,0.000695,0.28,0.744,90.775,audio_features,16flEBCtUF67V5yO0GxYWn,spotify:track:16flEBCtUF67V5yO0GxYWn,https://api.spotify.com/v1/tracks/16flEBCtUF67V5yO0GxYWn,https://api.spotify.com/v1/audio-analysis/16flEBCtUF67V5yO0GxYWn,256560,4
2100,0.585,0.424,4,-14.726,0,0.0274,0.217,0.913,0.0314,0.436,90.994,audio_features,4xMowrttaSDNklSdKGVuwC,spotify:track:4xMowrttaSDNklSdKGVuwC,https://api.spotify.com/v1/tracks/4xMowrttaSDNklSdKGVuwC,https://api.spotify.com/v1/audio-analysis/4xMowrttaSDNklSdKGVuwC,311998,4
2101,0.698,0.567,10,-13.968,1,0.0296,0.00548,0.234,0.147,0.919,118.826,audio_features,7pfP8Z9M9KRUtzTLcnjem5,spotify:track:7pfP8Z9M9KRUtzTLcnjem5,https://api.spotify.com/v1/tracks/7pfP8Z9M9KRUtzTLcnjem5,https://api.spotify.com/v1/audio-analysis/7pfP8Z9M9KRUtzTLcnjem5,257827,4
2102,0.787,0.522,0,-13.029,0,0.0578,0.0126,1.34e-06,0.0671,0.923,111.576,audio_features,4buDeg67vos7KP1yHrS9wl,spotify:track:4buDeg67vos7KP1yHrS9wl,https://api.spotify.com/v1/tracks/4buDeg67vos7KP1yHrS9wl,https://api.spotify.com/v1/audio-analysis/4buDeg67vos7KP1yHrS9wl,249960,4
2103,0.65,0.921,9,-6.014,1,0.0359,0.000798,0.0298,0.134,0.648,119.8,audio_features,16MQZkAIAAtI4X5NuiEwuq,spotify:track:16MQZkAIAAtI4X5NuiEwuq,https://api.spotify.com/v1/tracks/16MQZkAIAAtI4X5NuiEwuq,https://api.spotify.com/v1/audio-analysis/16MQZkAIAAtI4X5NuiEwuq,322867,4
2104,0.572,0.914,8,-8.436,1,0.0311,0.0717,0.00776,0.319,0.843,108.991,audio_features,4V87hYB94wu8DFtd901riK,spotify:track:4V87hYB94wu8DFtd901riK,https://api.spotify.com/v1/tracks/4V87hYB94wu8DFtd901riK,https://api.spotify.com/v1/audio-analysis/4V87hYB94wu8DFtd901riK,254467,4
2105,0.667,0.93,7,-4.585,1,0.0608,0.0108,0.0,0.176,0.893,115.57,audio_features,6ioBgySxoeQKALvAeLEmId,spotify:track:6ioBgySxoeQKALvAeLEmId,https://api.spotify.com/v1/tracks/6ioBgySxoeQKALvAeLEmId,https://api.spotify.com/v1/audio-analysis/6ioBgySxoeQKALvAeLEmId,239093,4
2106,0.498,0.95,10,-5.786,0,0.061,0.0507,0.00324,0.168,0.889,192.563,audio_features,1I0HPyA358wezY1aCpuLBS,spotify:track:1I0HPyA358wezY1aCpuLBS,https://api.spotify.com/v1/tracks/1I0HPyA358wezY1aCpuLBS,https://api.spotify.com/v1/audio-analysis/1I0HPyA358wezY1aCpuLBS,353440,4
2107,0.209,0.795,0,-7.241,1,0.0443,0.0109,5.63e-05,0.355,0.682,171.975,audio_features,0PbAyLrJRDxckQBLQ2Addc,spotify:track:0PbAyLrJRDxckQBLQ2Addc,https://api.spotify.com/v1/tracks/0PbAyLrJRDxckQBLQ2Addc,https://api.spotify.com/v1/audio-analysis/0PbAyLrJRDxckQBLQ2Addc,376733,4
2108,0.703,0.685,2,-11.581,1,0.033,0.323,0.000567,0.0537,0.963,131.842,audio_features,5OKScc0MSa9Wl8g2zrulLn,spotify:track:5OKScc0MSa9Wl8g2zrulLn,https://api.spotify.com/v1/tracks/5OKScc0MSa9Wl8g2zrulLn,https://api.spotify.com/v1/audio-analysis/5OKScc0MSa9Wl8g2zrulLn,303493,4
2109,0.466,0.648,1,-11.101,0,0.028,0.0023,1.49e-05,0.112,0.305,90.435,audio_features,0qgrrDnUUhyxpxbBznUnzg,spotify:track:0qgrrDnUUhyxpxbBznUnzg,https://api.spotify.com/v1/tracks/0qgrrDnUUhyxpxbBznUnzg,https://api.spotify.com/v1/audio-analysis/0qgrrDnUUhyxpxbBznUnzg,229960,4
2110,0.988,0.633,5,-15.012,0,0.0888,0.0755,1.88e-06,0.0668,0.929,117.493,audio_features,5YIF6HSOtHN9HdcE5IPzMe,spotify:track:5YIF6HSOtHN9HdcE5IPzMe,https://api.spotify.com/v1/tracks/5YIF6HSOtHN9HdcE5IPzMe,https://api.spotify.com/v1/audio-analysis/5YIF6HSOtHN9HdcE5IPzMe,248160,4
2111,0.612,0.585,5,-11.931,1,0.0337,0.0137,0.0068,0.0635,0.799,149.2,audio_features,6BsXgrxQViV3PdAjS13uWZ,spotify:track:6BsXgrxQViV3PdAjS13uWZ,https://api.spotify.com/v1/tracks/6BsXgrxQViV3PdAjS13uWZ,https://api.spotify.com/v1/audio-analysis/6BsXgrxQViV3PdAjS13uWZ,207533,4
2112,0.596,0.546,2,-6.251,1,0.0267,0.633,0.00381,0.0707,0.255,131.123,audio_features,6WTD4ZZx3jit6MY3hDDXcc,spotify:track:6WTD4ZZx3jit6MY3hDDXcc,https://api.spotify.com/v1/tracks/6WTD4ZZx3jit6MY3hDDXcc,https://api.spotify.com/v1/audio-analysis/6WTD4ZZx3jit6MY3hDDXcc,234280,4
2113,0.536,0.571,0,-6.879,1,0.0278,0.355,0.0,0.0595,0.397,126.909,audio_features,3gDtrR0W8CmkyS6mweesSS,spotify:track:3gDtrR0W8CmkyS6mweesSS,https://api.spotify.com/v1/tracks/3gDtrR0W8CmkyS6mweesSS,https://api.spotify.com/v1/audio-analysis/3gDtrR0W8CmkyS6mweesSS,280933,4
2114,0.457,0.297,6,-12.511,1,0.0306,0.686,0.000107,0.109,0.333,120.021,audio_features,1OEoNpiyqBghuEUaT6Je6U,spotify:track:1OEoNpiyqBghuEUaT6Je6U,https://api.spotify.com/v1/tracks/1OEoNpiyqBghuEUaT6Je6U,https://api.spotify.com/v1/audio-analysis/1OEoNpiyqBghuEUaT6Je6U,354880,4
2115,0.608,0.836,2,-9.867,1,0.0467,0.28,0.0,0.179,0.589,119.033,audio_features,6TWYdlmZVmZYcJlQ82ff1K,spotify:track:6TWYdlmZVmZYcJlQ82ff1K,https://api.spotify.com/v1/tracks/6TWYdlmZVmZYcJlQ82ff1K,https://api.spotify.com/v1/audio-analysis/6TWYdlmZVmZYcJlQ82ff1K,278480,4
2116,0.721,0.765,6,-13.036,1,0.0345,0.0344,2.83e-06,0.322,0.948,119.95,audio_features,6CCYX0JVy5qYqUvWpCvHXh,spotify:track:6CCYX0JVy5qYqUvWpCvHXh,https://api.spotify.com/v1/tracks/6CCYX0JVy5qYqUvWpCvHXh,https://api.spotify.com/v1/audio-analysis/6CCYX0JVy5qYqUvWpCvHXh,241840,4
2117,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4
2118,0.632,0.356,9,-10.811,1,0.0309,0.523,5.76e-06,0.0961,0.197,131.28,audio_features,0YL8rCxASTV9uBE9Sur0Ag,spotify:track:0YL8rCxASTV9uBE9Sur0Ag,https://api.spotify.com/v1/tracks/0YL8rCxASTV9uBE9Sur0Ag,https://api.spotify.com/v1/audio-analysis/0YL8rCxASTV9uBE9Sur0Ag,294960,4
