index,artist
490,Jackie DeShannon
491,Tom Jones
492,Sir Douglas Quintet
493,Sam Cooke
494,Herman's Hermits
495,Martha Reeves & The Vandellas
496,The Yardbirds
497,The Searchers
498,Sonny & Cher
499,Peter And Gordon
500,Brenda Lee
501,The Dave Clark Five
502,Peter And Gordon
503,Four Tops
504,The Rolling Stones
505,The Lovin' Spoonful
506,Cher
507,Little Anthony & The Imperials
508,Del Shannon
509,Marvin Gaye
510,The Association
511,Four Tops
512,The Monkees
513,The Supremes
514,Johnny Rivers
515,The Lovin' Spoonful
516,Nancy Sinatra
517,Jimmy Ruffin
518,Frank Sinatra
519,The Beatles
520,The Young Rascals
521,Tommy James & The Shondells
522,Percy Sledge
523,Petula Clark
524,Lou Christie
525,The Troggs
526,Bobby Hebb
527,The Beatles
528,The Supremes
529,The Beach Boys
530,Dusty Springfield
531,The Left Banke
532,The Lovin' Spoonful
533,Tommy Roe
534,Tommy Roe
535,The Hollies
536,B.J. Thomas
537,The Temptations
538,The Standells
539,Simon & Garfunkel
540,Latimore
541,Johnny Rivers
542,Peter And Gordon
543,Simon & Garfunkel
544,The Lovin' Spoonful
545,Stevie Wonder
546,Cherry Glazerr
547,The Beach Boys
548,The Rolling Stones
549,The Temptations
550,Brenda Lee
551,David Houston
552,Bobby Darin
553,Neil Diamond
554,Lee Dorsey
555,Dionne Warwick
556,Lou Rawls
557,The Beach Boys
558,The Supremes
559,Bob Dylan
560,Peter And Gordon
561,The Beatles
562,Herman's Hermits
563,Slim Harpo
564,Gary Lewis & The Playboys
565,Chris Montez
566,The Bobby Fuller Four
567,The Beatles
568,The Yardbirds
569,Wilson Pickett
570,Lulu
571,The Box Tops
572,DJ MixMasters
573,The Association
574,The Monkees
574,Ellie Larsson
575,The Doors
576,Nancy Sinatra
576,Frank Sinatra
577,The Young Rascals
578,Frankie Valli
579,Tommy James & The Shondells
580,Aretha Franklin
581,Stevie Wonder
582,The Buckinghams
583,Arthur Conley
584,Sam & Dave
585,The Association
586,Strawberry Alarm Clock
587,The Rolling Stones
588,Vikki Carr
589,Brenton Wood
590,Buffalo Springfield
591,The Supremes
592,The Supremes
593,The Beatles
594,Engelbert Humperdinck
595,Marvin Gaye
595,Tammi Terrell
596,Jefferson Airplane
597,Van Morrison
598,Procol Harum
599,The Buckinghams
600,Diana Ross & The Supremes
601,The Hollies
602,Dionne Warwick
603,The Tremeloes
604,Scott McKenzie
605,The Cowsills
606,Herman's Hermits
607,The Buckinghams
608,Petula Clark
609,Jackie Wilson
610,The Young Rascals
611,The Beatles
612,The Temptations
613,The Seekers
614,Aretha Franklin
615,Lesley Gore
616,The Young Rascals
617,The Hollies
618,The Spencer Davis Group
619,Wilson Pickett
620,The Monkees
621,Aretha Franklin
622,Aaron Neville
623,James Brown
624,Ray Charles
624,Norah Jones
625,Jefferson Airplane
626,Four Tops
627,Sonny & Cher
628,Janis Ian
629,Neil Diamond
630,Marvin Gaye
630,Tammi Terrell
631,The Tremeloes
632,Peter
632, Paul and Mary
633,The Electric Prunes
634,The Monkees
635,Johnny Rivers
636,Tommy James & The Shondells
637,Tom Jones
638,Petula Clark
639,Neil Diamond
640,The Beatles
641,Otis Redding
642,Herb Alpert & The Tijuana Brass
643,Simon & Garfunkel
644,Jeannie C. Riley
645,The Doors
646,The Box Tops
647,Sly & The Family Stone
648,The Temptations
649,The Delfonics
650,The Vogues
651,Diana Ross & The Supremes
652,Georgie Fame
653,Mary Hopkin
654,Steppenwolf
655,Sergio Mendes & Brasil '66
656,Johnny Nash
657,The Troggs
658,Dionne Warwick
659,The Lemon Pipers
660,Friend & Lover
661,The Rolling Stones
662,Richard Harris
663,José Feliciano
664,Percy Sledge
665,Status Quo
666,Blue Cheer
667,Marvin Gaye
667,Tammi Terrell
668,James Brown
669,Bee Gees
670,The Beatles
671,Steppenwolf
672,Tom Jones
673,Sam & Dave
674,Sergio Mendes & Brasil '66
675,Eric Burdon & the Animals
676,The Cowsills
677,The Irish Rovers
678,The Beatles
679,Marvin Gaye
679,Tammi Terrell
680,Dionne Warwick
681,Manfred Mann
682,Aretha Franklin
683,Aretha Franklin
684,Gary Lewis & The Playboys
685,Big Brother & The Holding Company
685,Janis Joplin
686,The Archies
687,The Temptations
688,The Rolling Stones
689,Sly & The Family Stone
690,Tommy Roe
691,Sly & The Family Stone
692,Tom Jones
693,Tommy James & The Shondells
694,Three Dog Night
695,Tommy James & The Shondells
696,The Cowsills
697,Marvin Gaye
698,Elvis Presley
699,Creedence Clearwater Revival
700,The Isley Brothers
701,Neil Diamond
702,Oliver
703,Creedence Clearwater Revival
704,The Beatles
705,Zager & Evans
706,Blood
706, Sweat & Tears
707,Andy Kim
708,Creedence Clearwater Revival
709,Stevie Wonder
710,Three Dog Night
711,Elvis Presley
712,Johnny Cash
713,Oliver
714,Blood
714, Sweat & Tears
715,Jackie DeShannon
716,The Doors
717,Sammy Davis Jr.
718,Bob Dylan
